"행정구역(시군구)별","시점","총인구수[명]","남자인구수[명]","여자인구수[명]",
"강원도","2023.02 월","1534067","771758","762309",
"춘천시","2023.02 월","286839","141631","145208",
"원주시","2023.02 월","360933","178928","182005",
"강릉시","2023.02 월","210940","104548","106392",
"동해시","2023.02 월","89234","45325","43909",
"태백시","2023.02 월","39131","19725","19406",
"속초시","2023.02 월","82685","40970","41715",
"삼척시","2023.02 월","63028","31956","31072",
"홍천군","2023.02 월","67815","34880","32935",
"횡성군","2023.02 월","46462","23842","22620",
"영월군","2023.02 월","37561","19405","18156",
"평창군","2023.02 월","40861","21129","19732",
"정선군","2023.02 월","34825","18199","16626",
"철원군","2023.02 월","42064","21806","20258",
"화천군","2023.02 월","23230","12481","10749",
"양구군","2023.02 월","21287","11171","10116",
"인제군","2023.02 월","32126","17501","14625",
"고성군","2023.02 월","27197","14015","13182",
"양양군","2023.02 월","27849","14246","13603",
"충청북도","2023.02 월","1593434","810305","783129",
"청주시","2023.02 월","849621","429378","420243",
"서원구","2023.02 월","190394","94972","95422",
"청원구","2023.02 월","193416","99739","93677",
"상당구","2023.02 월","197697","98195","99502",
"흥덕구","2023.02 월","268114","136472","131642",
"충주시","2023.02 월","208046","105458","102588",
"제천시","2023.02 월","130488","65573","64915",
"보은군","2023.02 월","31444","15880","15564",
"옥천군","2023.02 월","49310","24881","24429",
"영동군","2023.02 월","44750","22405","22345",
"증평군","2023.02 월","37315","19425","17890",
"진천군","2023.02 월","85906","45369","40537",
"괴산군","2023.02 월","36911","19034","17877",
"음성군","2023.02 월","91905","48781","43124",
"단양군","2023.02 월","27738","14121","13617",
"충청남도","2023.02 월","2123625","1087162","1036463",
"당진시","2023.02 월","168472","89750","78722",
"천안시","2023.02 월","657417","336618","320799",
"동남구","2023.02 월","256729","130142","126587",
"서북구","2023.02 월","400688","206476","194212",
"공주시","2023.02 월","102480","51215","51265",
"보령시","2023.02 월","96819","49061","47758",
"아산시","2023.02 월","336748","175505","161243",
"서산시","2023.02 월","176189","91979","84210",
"논산시","2023.02 월","112161","56039","56122",
"계룡시","2023.02 월","44523","22182","22341",
"금산군","2023.02 월","50206","25360","24846",
"부여군","2023.02 월","62019","30842","31177",
"서천군","2023.02 월","49808","24619","25189",
"청양군","2023.02 월","30127","15342","14785",
"홍성군","2023.02 월","97512","48592","48920",
"예산군","2023.02 월","78127","39209","38918",
"태안군","2023.02 월","61017","30849","30168",
"전라북도","2023.02 월","1766524","879065","887459",
"전주시","2023.02 월","649362","319129","330233",
"완산구","2023.02 월","331440","161213","170227",
"덕진구","2023.02 월","317922","157916","160006",
"전주시효자출장소","2023.02 월","0","0","0",
"군산시","2023.02 월","261872","132671","129201",
"익산시","2023.02 월","272793","135861","136932",
"익산시함열출장소","2023.02 월","0","0","0",
"정읍시","2023.02 월","104829","52175","52654",
"남원시","2023.02 월","77672","38090","39582",
"김제시","2023.02 월","81746","40632","41114",
"완주군","2023.02 월","93538","48063","45475",
"진안군","2023.02 월","24593","12545","12048",
"무주군","2023.02 월","23397","11690","11707",
"장수군","2023.02 월","21214","10657","10557",
"임실군","2023.02 월","26437","13556","12881",
"순창군","2023.02 월","26757","13145","13612",
"고창군","2023.02 월","52208","25953","26255",
"부안군","2023.02 월","50106","24898","25208",
"전라남도","2023.02 월","1814858","914087","900771",
"목포시","2023.02 월","216329","107561","108768",
"여수시","2023.02 월","274165","139529","134636",
"순천시","2023.02 월","278578","138990","139588",
"나주시","2023.02 월","116769","58933","57836",
"광양시","2023.02 월","152144","79543","72601",
"담양군","2023.02 월","45627","23076","22551",
"곡성군","2023.02 월","27002","13358","13644",
"구례군","2023.02 월","24587","12008","12579",
"고흥군","2023.02 월","61675","30079","31596",
"보성군","2023.02 월","38362","18792","19570",
"화순군","2023.02 월","61892","30591","31301",
"장흥군","2023.02 월","35506","17326","18180",
"강진군","2023.02 월","33046","16043","17003",
"해남군","2023.02 월","65622","32680","32942",
"영암군","2023.02 월","52349","27331","25018",
"무안군","2023.02 월","90590","45539","45051",
"함평군","2023.02 월","30770","15540","15230",
"영광군","2023.02 월","52192","26098","26094",
"장성군","2023.02 월","42983","22105","20878",
"완도군","2023.02 월","47438","23935","23503",
"진도군","2023.02 월","29417","14682","14735",
"신안군","2023.02 월","37815","20348","17467",
"경상북도","2023.02 월","2594399","1309417","1284982",
"포항시","2023.02 월","495229","251009","244220",
"남구","2023.02 월","226956","117596","109360",
"북구","2023.02 월","268273","133413","134860",
"경주시","2023.02 월","248893","124557","124336",
"김천시","2023.02 월","138980","69771","69209",
"안동시","2023.02 월","154138","76178","77960",
"구미시","2023.02 월","407387","209729","197658",
"영주시","2023.02 월","100499","49793","50706",
"영천시","2023.02 월","100962","51368","49594",
"상주시","2023.02 월","94698","46633","48065",
"문경시","2023.02 월","69861","34373","35488",
"경산시","2023.02 월","267490","134623","132867",
"군위군","2023.02 월","23277","11950","11327",
"의성군","2023.02 월","50042","24657","25385",
"청송군","2023.02 월","24245","12154","12091",
"영양군","2023.02 월","15931","7956","7975",
"영덕군","2023.02 월","34560","16444","18116",
"청도군","2023.02 월","41664","20583","21081",
"고령군","2023.02 월","30319","15575","14744",
"성주군","2023.02 월","42570","22171","20399",
"칠곡군","2023.02 월","112074","58677","53397",
"예천군","2023.02 월","55697","27364","28333",
"봉화군","2023.02 월","30048","15252","14796",
"울진군","2023.02 월","46849","23607","23242",
"울릉군","2023.02 월","8986","4993","3993",
"경상남도","2023.02 월","3272381","1647690","1624691",
"창원시","2023.02 월","1018699","515734","502965",
"의창구","2023.02 월","215429","109534","105895",
"성산구","2023.02 월","247806","126425","121381",
"마산합포구","2023.02 월","179004","88954","90050",
"마산회원구","2023.02 월","182972","91348","91624",
"진해구","2023.02 월","193488","99473","94015",
"진주시","2023.02 월","343167","169591","173576",
"통영시","2023.02 월","122172","61332","60840",
"사천시","2023.02 월","109153","55162","53991",
"사천남양출장소","2023.02 월","0","0","0",
"김해시","2023.02 월","534212","270155","264057",
"장유출장소","2023.02 월","0","0","0",
