"행정구역(시군구)별","시점","총전입[명]","총전출[명]","순이동[명]","시도내이동-시군구내[명]","시도내이동-시군구간 전입[명]","시도내이동-시군구간 전출[명]","시도간전입[명]","시도간전출[명]",
"안양시","2023.01 월","4083","4448","-365","1280","1372","1722","1431","1446",
"부천시","2023.01 월","4964","6064","-1100","1596","886","1514","2482","2954",
"광명시","2023.01 월","2699","3075","-376","1190","546","816","963","1069",
"평택시","2023.01 월","8568","7155","1413","3171","2197","1669","3200","2315",
"동두천시","2023.01 월","669","913","-244","272","239","422","158","219",
"안산시","2023.01 월","4804","5837","-1033","2108","1318","2057","1378","1672",
"고양시","2023.01 월","12756","11649","1107","5968","2230","2256","4558","3425",
"과천시","2023.01 월","903","725","178","196","347","249","360","280",
"구리시","2023.01 월","1225","1357","-132","285","400","580","540","492",
"남양주시","2023.01 월","4982","5117","-135","1511","1341","1615","2130","1991",
"오산시","2023.01 월","1971","2115","-144","393","891","1082","687","640",
"시흥시","2023.01 월","5556","5096","460","1982","1825","1416","1749","1698",
"군포시","2023.01 월","1943","2137","-194","574","760","930","609","633",
"의왕시","2023.01 월","1150","1296","-146","186","518","730","446","380",
"하남시","2023.01 월","3540","3153","387","960","991","882","1589","1311",
"용인시","2023.01 월","9157","9491","-334","2519","3230","3799","3408","3173",
"파주시","2023.01 월","4320","4115","205","1538","1381","1283","1401","1294",
"이천시","2023.01 월","2208","2457","-249","760","601","768","847","929",
"안성시","2023.01 월","1734","1856","-122","525","589","611","620","720",
"김포시","2023.01 월","4786","4371","415","1453","926","957","2407","1961",
"화성시","2023.01 월","13764","10358","3406","4856","5454","3094","3454","2408",
"양주시","2023.01 월","4597","2557","2040","1171","1934","728","1492","658",
"광주시","2023.01 월","2897","3154","-257","751","1211","1353","935","1050",
"포천시","2023.01 월","1319","1564","-245","420","427","645","472","499",
"여주시","2023.01 월","1151","993","158","361","394","318","396","314",
"양주군","2023.01 월","0","0","0","0","0","0","0","0",
"여주군","2023.01 월","0","0","0","0","0","0","0","0",
"화성군","2023.01 월","0","0","0","0","0","0","0","0",
"파주군","2023.01 월","0","0","0","0","0","0","0","0",
"광주군","2023.01 월","0","0","0","0","0","0","0","0",
"연천군","2023.01 월","356","444","-88","110","126","183","120","151",
"포천군","2023.01 월","0","0","0","0","0","0","0","0",
"가평군","2023.01 월","508","473","35","44","173","175","291","254",
"양평군","2023.01 월","1171","1013","158","225","408","346","538","442",
"이천군","2023.01 월","0","0","0","0","0","0","0","0",
"용인군","2023.01 월","0","0","0","0","0","0","0","0",
"안성군","2023.01 월","0","0","0","0","0","0","0","0",
"김포군","2023.01 월","0","0","0","0","0","0","0","0",
"강원도","2023.01 월","14581","15097","-516","5545","2728","2728","6308","6824",
"춘천시","2023.01 월","2915","2860","55","1334","556","394","1025","1132",
"원주시","2023.01 월","3744","3714","30","1632","519","427","1593","1655",
"강릉시","2023.01 월","2174","2282","-108","1124","345","324","705","834",
"동해시","2023.01 월","743","764","-21","230","142","157","371","377",
"태백시","2023.01 월","280","395","-115","121","65","123","94","151",
"속초시","2023.01 월","878","756","122","263","253","173","362","320",
"삼척시","2023.01 월","408","611","-203","135","78","117","195","359",
"홍천군","2023.01 월","524","541","-17","125","107","128","292","288",
"횡성군","2023.01 월","359","251","108","33","108","101","218","117",
"영월군","2023.01 월","266","319","-53","41","54","53","171","225",
"평창군","2023.01 월","293","336","-43","54","77","113","162","169",
"정선군","2023.01 월","234","237","-3","62","67","89","105","86",
"철원군","2023.01 월","369","446","-77","114","42","48","213","284",
"화천군","2023.01 월","299","357","-58","88","68","104","143","165",
"양구군","2023.01 월","222","264","-42","55","42","88","125","121",
"인제군","2023.01 월","371","376","-5","45","67","87","259","244",
"고성군","2023.01 월","241","302","-61","42","74","108","125","152",
"양양군","2023.01 월","261","286","-25","47","64","94","150","145",
"충청북도","2023.01 월","16205","16268","-63","7406","1949","1949","6850","6913",
"청주시","2023.01 월","9003","8784","219","4799","681","560","3523","3425",
"충주시","2023.01 월","2760","2788","-28","1580","253","230","927","978",
"제천시","2023.01 월","960","1250","-290","421","89","165","450","664",
"청원군","2023.01 월","0","0","0","0","0","0","0","0",
"보은군","2023.01 월","248","206","42","45","77","61","126","100",
"옥천군","2023.01 월","283","298","-15","33","32","40","218","225",
"영동군","2023.01 월","357","366","-9","99","28","32","230","235",
"증평군","2023.01 월","371","321","50","14","145","141","212","166",
"진천군","2023.01 월","758","815","-57","113","266","261","379","441",
"괴산군","2023.01 월","298","338","-40","43","105","145","150","150",
"음성군","2023.01 월","951","920","31","227","216","262","508","431",
"단양군","2023.01 월","216","182","34","32","57","52","127","98",
"충청남도","2023.01 월","24994","24311","683","9469","4628","4628","10897","10214",
"천안시","2023.01 월","7836","8479","-643","3406","980","1873","3450","3200",
"공주시","2023.01 월","1276","1303","-27","571","138","138","567","594",
"보령시","2023.01 월","1406","1507","-101","906","110","148","390","453",
"아산시","2023.01 월","5366","3815","1551","1660","1871","760","1835","1395",
"서산시","2023.01 월","1869","1889","-20","887","247","277","735","725",
"논산시","2023.01 월","1026","1127","-101","232","101","190","693","705",
"계룡시","2023.01 월","922","972","-50","131","75","75","716","766",
"당진시","2023.01 월","2008","1827","181","894","289","225","825","708",
"금산군","2023.01 월","412","371","41","89","32","20","291","262",
"연기군","2023.01 월","0","0","0","0","0","0","0","0",
"논산군","2023.01 월","0","0","0","0","0","0","0","0",
"부여군","2023.01 월","351","428","-77","116","62","95","173","217",
"서천군","2023.01 월","342","313","29","79","50","41","213","193",
"청양군","2023.01 월","186","261","-75","35","50","90","101","136",
"홍성군","2023.01 월","860","942","-82","233","257","352","370","357",
"예산군","2023.01 월","770","598","172","155","306","197","309","246",
"태안군","2023.01 월","364","479","-115","75","60","147","229","257",
"당진군","2023.01 월","0","0","0","0","0","0","0","0",
"전라북도","2023.01 월","17200","17690","-490","7552","4269","4269","5379","5869",
"전주시","2023.01 월","6010","6814","-804","2913","1362","1768","1735","2133",
"군산시","2023.01 월","2348","2478","-130","1202","347","413","799","863",
"익산시","2023.01 월","2476","2746","-270","1215","445","598","816","933",
"정읍시","2023.01 월","877","951","-74","404","172","182","301","365",
"남원시","2023.01 월","613","737","-124","293","89","153","231","291",
"김제시","2023.01 월","1147","860","287","498","366","194","283","168",
"완주군","2023.01 월","1998","1326","672","667","980","398","351","261",
"진안군","2023.01 월","157","185","-28","24","71","97","62","64",
"무주군","2023.01 월","145","166","-21","25","35","23","85","118",
"장수군","2023.01 월","117","152","-35","33","32","49","52","70",
"임실군","2023.01 월","216","219","-3","31","102","109","83","79",
"순창군","2023.01 월","199","216","-17","34","39","40","126","142",
"고창군","2023.01 월","515","425","90","91","116","117","308","217",
"부안군","2023.01 월","382","415","-33","122","113","128","147","165",
"전라남도","2023.01 월","16554","16528","26","5982","3617","3617","6955","6929",
"목포시","2023.01 월","2163","2384","-221","971","558","623","634","790",
"여수시","2023.01 월","2269","2436","-167","1312","269","340","688","784",
"순천시","2023.01 월","2738","2722","16","1395","553","524","790","803",
"나주시","2023.01 월","1576","1317","259","483","247","135","846","699",
"여천시","2023.01 월","0","0","0","0","0","0","0","0",
"광양시","2023.01 월","1399","1417","-18","526","324","324","549","567",
"담양군","2023.01 월","423","417","6","73","39","60","311","284",
"곡성군","2023.01 월","231","187","44","30","50","22","151","135",
"구례군","2023.01 월","212","245","-33","74","42","60","96","111",
"여천군","2023.01 월","0","0","0","0","0","0","0","0",
"고흥군","2023.01 월","434","435","-1","123","108","103","203","209",
"보성군","2023.01 월","272","237","35","30","70","80","172","127",
"화순군","2023.01 월","439","432","7","75","67","62","297","295",
"장흥군","2023.01 월","239","237","2","54","56","55","129","128",
"강진군","2023.01 월","296","277","19","61","83","73","152","143",
"해남군","2023.01 월","442","465","-23","99","129","132","214","234",
"영암군","2023.01 월","451","439","12","84","152","153","215","202",
"무안군","2023.01 월","1050","866","184","161","468","368","421","337",
"함평군","2023.01 월","227","216","11","44","34","49","149","123",
"영광군","2023.01 월","420","401","19","93","53","51","274","257",
"장성군","2023.01 월","439","496","-57","91","45","57","303","348",
"완도군","2023.01 월","284","348","-64","82","53","106","149","160",
"진도군","2023.01 월","204","210","-6","49","58","72","97","89",
"신안군","2023.01 월","346","344","2","72","159","168","115","104",
"경상북도","2023.01 월","22636","24286","-1650","8432","4424","4424","9780","11430",
"포항시","2023.01 월","4016","4494","-478","2064","428","515","1524","1915",
"경주시","2023.01 월","2028","2157","-129","743","336","283","949","1131",
"김천시","2023.01 월","1218","1347","-129","449","217","261","552","637",
"안동시","2023.01 월","1327","1479","-152","545","345","309","437","625",
"구미시","2023.01 월","3725","3915","-190","1578","771","590","1376","1747",
"영주시","2023.01 월","819","871","-52","367","134","177","318","327",
"영천시","2023.01 월","1048","1111","-63","314","235","263","499","534",
"상주시","2023.01 월","847","882","-35","340","174","197","333","345",
"문경시","2023.01 월","546","753","-207","266","84","177","196","310",
"경산시","2023.01 월","3030","3279","-249","1070","529","475","1431","1734",
"군위군","2023.01 월","176","171","5","22","45","45","109","104",
"의성군","2023.01 월","353","332","21","58","114","123","181","151",
"청송군","2023.01 월","195","205","-10","30","77","83","88","92",
"영양군","2023.01 월","120","129","-9","24","43","41","53","64",
"영덕군","2023.01 월","217","214","3","32","88","79","97","103",
"청도군","2023.01 월","361","319","42","59","48","54","254","206",
"고령군","2023.01 월","241","235","6","38","31","37","172","160",
"성주군","2023.01 월","387","318","69","70","89","69","228","179",
"칠곡군","2023.01 월","772","907","-135","103","292","318","377","486",
"예천군","2023.01 월","472","432","40","86","158","152","228","194",
"봉화군","2023.01 월","208","217","-9","50","72","70","86","97",
"울진군","2023.01 월","405","371","34","101","71","59","233","211",
"울릉군","2023.01 월","125","148","-23","23","43","47","59","78",
"경상남도","2023.01 월","26104","27646","-1542","10521","5632","5632","9951","11493",
"창원시","2023.01 월","0","0","0","0","0","0","0","0",
"창원시","2023.01 월","7638","8369","-731","3771","1348","1492","2519","3106",
"울산시","2023.01 월","0","0","0","0","0","0","0","0",
"마산시","2023.01 월","0","0","0","0","0","0","0","0",
"진주시","2023.01 월","3070","3270","-200","1386","745","763","939","1121",
"진해시","2023.01 월","0","0","0","0","0","0","0","0",
"통영시","2023.01 월","933","1027","-94","419","253","264","261","344",
"사천시","2023.01 월","1107","1050","57","381","340","278","386","391",
"김해시","2023.01 월","3752","3894","-142","1344","865","798","1543","1752",
"밀양시","2023.01 월","1035","1056","-21","525","161","157","349","374",
"거제시","2023.01 월","1967","2285","-318","817","371","343","779","1125",
"양산시","2023.01 월","3171","3114","57","1163","260","271","1748","1680",
"의령군","2023.01 월","186","227","-41","38","86","83","62","106",
"함안군","2023.01 월","469","490","-21","70","256","244","143","176",
"창녕군","2023.01 월","502","511","-9","111","176","166","215","234",
"양산군","2023.01 월","0","0","0","0","0","0","0","0",
"고성군","2023.01 월","319","377","-58","60","140","182","119","135",
"남해군","2023.01 월","302","308","-6","79","93","108","130","121",
"하동군","2023.01 월","306","318","-12","60","110","115","136","143",
"산청군","2023.01 월","407","302","105","115","161","92","131","95",
"함양군","2023.01 월","219","286","-67","65","61","77","93","144",
"거창군","2023.01 월","381","444","-63","60","104","105","217","279",
"합천군","2023.01 월","340","318","22","57","102","94","181","167",
"제주특별자치도","2023.01 월","8201","8796","-595","4193","854","854","3154","3749",
"제주시","2023.01 월","5856","6391","-535","3375","448","406","2033","2610",
"서귀포시","2023.01 월","2345","2405","-60","818","406","448","1121","1139",
"북제주군","2023.01 월","0","0","0","0","0","0","0","0",
"남제주군","2023.01 월","0","0","0","0","0","0","0","0",
